login,order_id,customer_id,MOTT,status,marketplaceid,orderTotalAmountUSD,ictry_cd,bctry_cd,cctry_cd,sctry_cd,emailorg,ipadd,paymeth,gls,isfba,hasprime,seg,fastlane,numitem,issuingbank,fingerprint,createdcountrycode,ipstate,sst_cd,zip,nsignins,days_lastorder,comp_dayob,capture_date,capture_calendar_week,event_day,event_calendar_week,event_calendar_month,event_calendar_year,event_priority,capture_priority,risk_score,conceded_order_id,conc_amt_usd,max_concession_creation_day,min_concession_creation_day,unique_id,report_generation_date
aba,406-0260244-4429137,834589173812,tt/d108893233,NORMAL,338851,753.42,TR,TR,TR,TR,YAHOO.COM,88.243.156.93,CC,"107,147",1,1,1,1,2,İş Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,34762,13,0.0,0.0,2024-11-06 14:16:16.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,880dbdd883f534d93daa133fb1831762,2024-11-07 00:00:00.000
abd,406-1921025-3685915,834164084412,tt/d108893233,NORMAL,338851,291.53,TR,TR,TR,TR,GMAIL.COM,31.223.49.45,CC,147,1,0,1,1,2,Garanti Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,34212,2,0.0,0.0,2024-11-05 21:11:23.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,01114a00c5ac08ee00ee2d5df7c567d6,2024-11-07 00:00:00.000
abb,406-4178570-7745141,834427115212,tt/d108893233,NORMAL,338851,280.07,TR,TR,TR,TR,GMAIL.COM,88.249.65.99,CC,107,1,1,3,1,1,Ziraat Bankası,PPlyXDqv6/JUvJ4+CtF66Q==,TR,--,YENIMAHALLE,06200,11,0.0,0.0,2024-11-07 06:26:58.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,966e7d5e4749c2f1dd80079cd3073618,2024-11-07 00:00:00.000
abc,406-9141407-3067501,834158613612,tt/d108893233,NORMAL,338851,559.19,TR,TR,TR,TR,GMAIL.COM,88.230.97.129,CC,60,1,1,3,1,1,Garanti Bankası,UAZy0XVa822fM5FrqD4B3w==,TR,--,TURKIYEBURSA,16220,4,0.0,0.0,2024-11-06 04:38:14.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,416b9406e8c53f12567ceddfa2d7d6ee,2024-11-07 00:00:00.000
aba,404-9676757-5498767,830849078412,tt/d108893233,NORMAL,338851,850.21,TR,TR,TR,TR,GMAIL.COM,78.171.232.37,CC,107,1,1,3,1,1,Kuveyt Türk,e1TgDxM4oo7+9qmg50rxmA==,TR,--,,34664,9,0.0,0.0,2024-11-01 11:00:22.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,175f487af9e1fb5d0d6f069a402bc5db,2024-11-07 00:00:00.000
abd,406-1319952-2416342,102353957512,tt/d108893233,NORMAL,338851,340.7,TR,TR,TR,TR,HOTMAIL.COM,178.247.25.15,CC,147,1,0,1,1,3,Finansbank,ee9CdzeTvfmodxFNbQGYLA==,TR,--,,04100,2,0.0,0.0,2024-11-01 18:08:52.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,b81a95602d9a8f3c22728e61bfd1696c,2024-11-07 00:00:00.000
abb,405-9698566-6642726,831463469512,tt/d108893233,NORMAL,338851,774.48,TR,TR,TR,TR,GMAIL.COM,88.235.76.249,CC,63,1,1,1,0,1,Finansbank,RgnJX1GCehPV/bkubrOqXw==,TR,--,,47800,50,0.0,0.0,2024-11-07 16:40:02.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,19823285eb2af98bb392a258fa62f23f,2024-11-07 00:00:00.000
abc,402-5137824-0158745,830796909612,tt/d108893233,NORMAL,338851,250.15,TR,TR,TR,TR,GMAIL.COM,212.125.10.55,CC,79,1,1,3,1,5,Denizbank,1Zhk6mrLWiTn8ddxL05GzQ==,TR,--,,34010,11,0.42706,0.42706,2024-11-04 10:06:57.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,122c5657e9d25bd1499fc5a8249342dd,2024-11-07 00:00:00.000
aba,406-3881429-3025114,831564779012,tt/d108893233,NORMAL,338851,946.51,TR,TR,TR,TR,ICLOUD.COM,188.3.167.190,CC,147,1,1,1,1,1,Garanti Bankası,nNFikz7BBx3EhSgwi5Zqvg==,TR,--,BAYRAKLI,35035,19,0.0,0.0,2024-11-02 17:47:05.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,2e9727100e7b4a25c02b950283a10872,2024-11-07 00:00:00.000
abd,171-4624555-7677100,957371696102,tt/d108893233,NORMAL,338851,1496.86,TR,TR,TR,TR,GMAIL.COM,88.244.93.247,CC,107,1,1,3,1,1,İş Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,US,--,,34742,14,0.0,0.0,2024-10-28 21:23:18.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,921a0de9ad6a136275763591ca663877,2024-11-07 00:00:00.000
abb,171-8800889-5199557,834686491612,tt/d108893233,NORMAL,338851,303.18,TR,TR,TR,TR,GMAIL.COM,46.196.93.98,CC,147,1,1,1,1,1,Garanti Bankası,mXn2cdJR5t+bk1ETZP27pw==,TR,--,STANBUL,34840,5,0.0,0.0,2024-11-06 15:53:15.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,dbc6c9d998c0266bc084efbcba987d6d,2024-11-07 00:00:00.000
abc,403-6347389-9823539,830684791012,tt/d108893233,NORMAL,338851,582.48,TR,TR,TR,TR,GMAIL.COM,95.10.238.19,CC,79,1,1,3,1,5,Finansbank,ZAYuH5tL82/LQf896GvIrg==,TR,--,,41420,14,2.369317,2.369317,2024-11-03 23:48:55.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,f703aae8c56799fdf15fb601b05dd55e,2024-11-07 00:00:00.000
aba,404-5081380-4801129,834761905312,tt/d108893233,NORMAL,338851,206.95,TR,TR,TR,TR,GMAIL.COM,46.2.236.114,CC,79,1,1,3,1,1,İş Bankası,RZ3qVUOHFCj+CcBbAVFK7A==,TR,--,,38165,5,0.0,0.0,2024-11-06 17:50:46.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,6543f8473a778efba5f0466c747bd43f,2024-11-07 00:00:00.000
abd,405-4022673-1999527,832813937312,tt/d108893233,NORMAL,338851,430.16,TR,TR,TR,TR,OUTLOOK.COM,88.238.32.129,CC,107,1,1,3,1,1,Yapı Kredi Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,AKDENIZ,33070,6,0.0,0.0,2024-11-03 17:43:34.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,3fad6bf03ce602ccd7d3c98eea1d1b1a,2024-11-07 00:00:00.000
abb,406-7157768-6304327,828128249412,tt/d108893233,NORMAL,338851,278.08,TR,TR,TR,TR,GMAIL.COM,94.54.190.46,CC,147,1,0,1,0,1,İş Bankası,GCwGnMpbWODQ4RqT17c1bg==,TR,--,,42100,4,0.0,0.0,2024-10-28 17:07:12.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,3885282b2d8364712756f0299f5df3b8,2024-11-07 00:00:00.000
abc,408-1132207-1709934,834856050212,tt/d108893233,NORMAL,338851,2626.35,TR,TR,TR,TR,GMAIL.COM,159.146.45.11,CC,107,1,1,3,1,1,Yapı Kredi Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,34381,5,0.0,0.0,2024-11-06 23:04:13.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,c88f7d70acb890e3f7856ccbc2719dfa,2024-11-07 00:00:00.000
aba,404-5372077-5390751,834013628012,tt/d108893233,NORMAL,338851,3487.65,TR,TR,TR,TR,MYANKA.COM.TR,5.46.220.146,CC,147,1,1,1,1,1,Garanti Bankası,3DcVA3OmdTZpKFGqrHjC5A==,TR,--,,34528,7,0.0,0.0,2024-11-05 16:58:13.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,89c15188462b7f3e164c763d36db5f72,2024-11-07 00:00:00.000
abd,405-0828250-9429158,833904458612,tt/d108893233,NORMAL,338851,926.18,TR,TR,TR,TR,GMAIL.COM,94.235.247.99,CC,75,1,1,3,1,1,Halk Bankası,tjjwuoPNsauBGHISdc/V/g==,TR,--,TALAS,38280,2,0.0,0.0,2024-11-05 10:33:41.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,e70e84f878472b1bcbd9ce68d3fb1d8b,2024-11-07 00:00:00.000
abb,407-9449177-8601145,791569133012,tt/d108893233,NORMAL,338851,772.86,TR,TR,TR,TR,HOTMAIL.COM,176.55.170.183,CC,63,1,1,1,1,1,Finansbank,eObgWcqjc7QGDB7MseE6tQ==,TR,--,,17800,47,56.396343,56.396343,2024-11-06 17:00:45.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,dc0cbbc679e020119cc47f126184cf80,2024-11-07 00:00:00.000
abc,406-6026179-7013149,834746453612,tt/d108893233,NORMAL,338851,490.33,TR,TR,TR,TR,GMAIL.COM,88.242.132.81,CC,79,1,1,3,1,1,Akbank,Z2tpTirRKW1/bX5B7j4/HA==,TR,--,,45140,9,0.0,0.0,2024-11-06 21:08:54.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,d83fef4568f546fedd99e7b5d946f53b,2024-11-07 00:00:00.000
aba,407-4915976-8541121,20914414905,tt/d108893233,NORMAL,338851,485.83,TR,TR,TR,TR,HOTMAIL.COM,178.243.48.225,CC,504,1,1,3,1,1,Vakıfbank,lNvDXdwnCKAmZIygZ4uG1Q==,US,--,EHITKAMIL,27090,3,0.0,0.0,2024-11-01 13:22:43.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,0a74f7d66495a2008587ea3fb884c1f4,2024-11-07 00:00:00.000
abd,408-0439986-4753168,833735417512,tt/d108893233,NORMAL,338851,302.59,TR,TR,TR,TR,ICLOUD.COM,213.74.206.74,CC,147,1,1,1,1,1,İş Bankası,UAZy0XVa822fM5FrqD4B3w==,TR,--,,34517,6,0.0,0.0,2024-11-05 12:54:37.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,013a8e583a1322b21c9dc10200fdebc0,2024-11-07 00:00:00.000
abb,408-7273831-7113912,832646317112,tt/d108893233,NORMAL,338851,431.14,TR,TR,TR,TR,HOTMAIL.COM,176.220.87.183,CC,107,1,1,3,1,1,Akbank,JjjHO8Y97S8N0Jk5mjojzw==,TR,--,,27080,12,0.0,0.0,2024-11-03 14:02:01.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,e6be6d9fab4eab53e57e3d2727fa8aa1,2024-11-07 00:00:00.000
abc,402-5608214-3193907,831997416812,tt/d108893233,NORMAL,338851,431.14,TR,TR,TR,TR,GMAIL.COM,95.0.168.3,CC,107,1,1,3,1,1,Ziraat Bankası,cZ74H756vpt1D7rt5j5SRQ==,TR,--,,63000,20,0.0,0.0,2024-11-02 16:58:03.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,d0ff474f68343e4aaa88577529998207,2024-11-07 00:00:00.000
aba,403-1400979-4041932,834530697212,tt/d108893233,NORMAL,338851,1215.21,TR,TR,TR,TR,GMAIL.COM,78.188.165.247,CC,147,1,1,1,1,1,Finansbank,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,54050,4,0.0,0.0,2024-11-06 12:52:40.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,267b31393545307bda2d84ede5c5607a,2024-11-07 00:00:00.000
abd,406-0019476-4536342,242924476712,tt/d108893233,NORMAL,338851,431.14,TR,TR,TR,TR,HOTMAIL.COM,94.235.250.42,CC,107,1,1,3,1,1,Finansbank,pDXNUlXaxrsVrzJxflv1Ag==,TR,--,,01060,2,0.0,0.0,2024-11-03 13:00:13.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,b2fa6aedc66bae482a2197afee4692fd,2024-11-07 00:00:00.000
abb,407-0680900-5195556,833870484612,tt/d108893233,NORMAL,338851,2017.27,TR,TR,TR,TR,ICLOUD.COM,185.213.170.100,CC,107,1,1,3,1,1,Garanti Bankası,PyWpvRkm5WoKLPPCY3s1UQ==,TR,--,MERKEZ,80100,40,1.704734,1.704734,2024-11-07 08:54:49.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,29c4231e0ded895837b824c55bd12076,2024-11-07 00:00:00.000
abc,407-1519969-6229925,832227406412,tt/d108893233,NORMAL,338851,334.3,TR,TR,TR,TR,HOTMAIL.COM,217.131.118.22,CC,107,1,1,3,1,1,Yapı Kredi Bankası,x7avnUPnZeBUH4pQoXjVJA==,TR,--,,06932,5,0.0,0.0,2024-11-02 19:30:24.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,3d977be0666837152ddcf102190e6370,2024-11-07 00:00:00.000
aba,408-1036707-9853134,820045518012,tt/d108893233,NORMAL,338851,431.75,TR,TR,TR,TR,GMAIL.COM,88.236.125.234,CC,79,1,1,3,1,1,Vakıfbank,lNvDXdwnCKAmZIygZ4uG1Q==,TR,--,,23050,9,0.0,0.0,2024-11-06 18:57:04.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,4f188dd99589715e957a4016e959160e,2024-11-07 00:00:00.000
abd,408-2004899-0661946,375364921012,tt/d108893233,NORMAL,338851,495.79,TR,TR,TR,TR,HOTMAIL.COM,95.9.111.35,CC,147,1,1,1,1,1,Denizbank,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,BOLUMERKEZ,14100,2,0.0,0.0,2024-11-06 09:37:08.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,a9c670e72d1c18e2fab02ff6f4d7bf11,2024-11-07 00:00:00.000
abb,171-4842770-2897912,831406718812,tt/d108893233,NORMAL,338851,873.57,TR,TR,TR,TR,HOTMAIL.COM,212.252.139.74,CC,63,1,1,1,1,2,İş Bankası,nNFikz7BBx3EhSgwi5Zqvg==,TR,--,,35520,4,0.0,0.0,2024-11-02 07:31:36.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,81,,,,,7ebd4892bbc066921ff749986bd9b920,2024-11-07 00:00:00.000
abc,404-5355681-9877958,834585161212,tt/d108893233,NORMAL,338851,1093.69,TR,TR,TR,TR,HOTMAIL.COM,176.237.2.55,CC,147,1,1,1,1,1,Garanti Bankası,AQQr8UqKRVkaMOVQMj9T0Q==,TR,--,,34517,9,0.0,0.0,2024-11-06 22:02:47.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,ed1ea6226eac56a8cfa60d345d3d8f80,2024-11-07 00:00:00.000
aba,405-7946177-9081900,832635065212,tt/d108893233,NORMAL,338851,771.76,TR,TR,TR,TR,GMAIL.COM,149.140.120.57,CC,63,1,1,1,0,1,Finansbank,307gq+XhXO6mPUNQlsUVLA==,TR,--,STANBUL,34270,4,0.0,0.0,2024-11-03 17:03:19.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,b34e389d65a6d68c9c306d71b42886f1,2024-11-07 00:00:00.000
abd,407-0074364-1555527,831539151212,tt/d108893233,NORMAL,338851,340.05,TR,TR,TR,TR,YANDEX.COM.TR,176.216.17.172,CC,79,1,1,3,1,2,Garanti Bankası,TvR/+sC/0s3/DE1xsIhjFQ==,TR,--,,34065,6,0.0,0.0,2024-11-02 02:42:33.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,0b7d2a15ba92e5802eb4d7126fe171f3,2024-11-07 00:00:00.000
abb,408-2524671-1793929,192287083702,tt/d108893233,NORMAL,338851,978.45,TR,TR,TR,TR,GMAIL.COM,212.156.146.214,CC,107,1,1,3,1,1,Garanti Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,UNKNOWN,--,,34524,9,0.0,0.0,2024-11-06 09:49:18.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,ea2b25b97df7f49585a063e7b20fd8c5,2024-11-07 00:00:00.000
abc,403-9957123-6866745,831502618312,tt/d108893233,NORMAL,338851,1568.06,TR,TR,TR,TR,GMAIL.COM,37.155.141.0,CC,107,1,1,3,1,1,Halk Bankası,HTYmV+m+sh2V4iQmOetuZQ==,TR,--,MERKEZ,72000,6,0.0,0.0,2024-11-01 19:23:40.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,d71c49aa014d3f9a9be27e746dfceed3,2024-11-07 00:00:00.000
aba,404-3161353-2797166,834042509412,tt/d108893233,NORMAL,338851,279.48,TR,TR,TR,TR,GMAIL.COM,176.42.18.87,CC,107,1,1,3,1,1,İş Bankası,8jgpXvp0m7s2eVY3KmX1/w==,TR,--,,06220,6,0.0,0.0,2024-11-06 13:54:24.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,90,,,,,0c9058aa5c5682c7557dbd7f77141c96,2024-11-07 00:00:00.000
abd,404-7330220-2393950,232079208312,tt/d108893233,NORMAL,338851,251.78,TR,TR,TR,TR,GMAIL.COM,176.237.104.72,CC,147,1,0,1,1,1,Garanti Bankası,TzaqB4jRpqPB/tNO8Ql26g==,TR,--,,06630,2,0.0,0.0,2024-10-28 10:44:08.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,a1973c74c3ebf31cfae8b838cbb166d4,2024-11-07 00:00:00.000
abb,405-8329628-6093959,834263588912,tt/d108893233,NORMAL,338851,381.92,TR,TR,TR,TR,ICLOUD.COM,77.67.175.174,CC,147,1,1,1,1,1,İş Bankası,kt58buMUXwf+FAyK6wApjw==,TR,--,,54050,7,0.0,0.0,2024-11-06 22:36:58.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,d16b528ce123e29fbf4abf681c5c3b50,2024-11-07 00:00:00.000
abc,406-6515165-2169109,828420763312,tt/d108893233,NORMAL,338851,758.1,TR,TR,TR,TR,SAMPOSTA.COM,78.183.162.42,CC,147,1,1,1,1,2,İş Bankası,t4Ec2Csge9Ff4Y2p12ZZLw==,TR,--,,06290,2,0.0,0.0,2024-10-28 18:33:22.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,53b76ace34be6c83f63059f3eb7d8f07,2024-11-07 00:00:00.000
aba,407-1470095-2183556,832906978712,tt/d108893233,NORMAL,338851,606.71,TR,TR,TR,TR,GMAIL.COM,88.238.192.104,CC,504,1,1,3,1,1,Garanti Bankası,Jd5/2AIeV437SuW1DXMpEg==,TR,--,SULTANGAZI,34100,3,0.0,0.0,2024-11-03 19:34:13.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,2c1be2aad8910be57c7e0d0b11a3a009,2024-11-07 00:00:00.000
abd,408-0109561-0225925,831319119912,tt/d108893233,NORMAL,338851,2135.59,TR,TR,TR,TR,GMAIL.COM,46.2.189.176,CC,107,1,1,3,1,1,Yapı Kredi Bankası,5GTRXf1u7JuuCx6uCXtcpg==,TR,--,KARADENIZERELI,67300,21,0.0,0.0,2024-11-02 08:21:49.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,3f08ef457ac7a5985cfafd12815cef1d,2024-11-07 00:00:00.000
abb,404-1080737-2842747,834648173112,tt/d108893233,NORMAL,338851,1502.15,TR,TR,TR,TR,GMAIL.COM,176.220.247.11,CC,107,1,1,3,1,1,Garanti Bankası,DlHxqZM/meDyQ5OggjbJ+g==,TR,--,,07090,7,0.0,0.0,2024-11-06 16:39:55.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,271db887d6f1a87226d7ac8c087f17bb,2024-11-07 00:00:00.000
abc,407-1480695-1797942,831453145312,tt/d108893233,NORMAL,338851,640.67,TR,TR,TR,TR,GMAIL.COM,188.132.190.11,CC,107,1,1,3,1,1,Garanti Bankası,deEuJPc+B8cIe0kj7dj6mw==,TR,--,MAMAK,06630,5,0.0,0.0,2024-11-01 18:08:45.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,dfac0a3a624f5557d9101e8709d6f504,2024-11-07 00:00:00.000
aba,171-0967477-8729958,833865925412,tt/d108893233,NORMAL,338851,751.97,TR,TR,TR,TR,GMAIL.COM,176.54.229.76,CC,147,1,1,1,1,1,Vakıfbank,lNvDXdwnCKAmZIygZ4uG1Q==,TR,--,,35620,6,0.0,0.0,2024-11-05 12:18:39.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,13b17d9f3678d5ef16e2d5ec367229e6,2024-11-07 00:00:00.000
abd,402-2148772-2139506,832631765312,tt/d108893233,NORMAL,338851,1894.24,TR,TR,TR,TR,GMAIL.COM,85.100.65.248,CC,107,1,1,3,1,2,İş Bankası,kG/D3uQVFBcL1xV0xAwd6w==,GB,--,,34680,17,0.0,0.0,2024-11-06 11:08:12.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,402faa83cad9e8d0e0e82c16983ae86b,2024-11-07 00:00:00.000
abb,404-1699846-3202735,830780805412,tt/d108893233,NORMAL,338851,332.3,TR,TR,TR,TR,GMAIL.COM,188.119.54.31,CC,107,1,1,3,1,1,Ziraat Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,34188,8,0.0,0.0,2024-11-01 10:12:26.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,70911857489cd94dc7991e1c04a3a30d,2024-11-07 00:00:00.000
abc,404-3284103-7926725,832891389212,tt/d108893233,NORMAL,338851,1263.21,TR,TR,TR,TR,GMAIL.COM,94.122.176.102,CC,107,1,0,3,1,1,Yapı Kredi Bankası,3fn9YCv8lzAmGQxm5CKbRw==,TR,--,,16300,4,0.0,0.0,2024-11-03 19:41:10.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,a20eede13c951c63409de86830a317ff,2024-11-07 00:00:00.000
aba,405-4847958-8964300,833341012812,tt/d108893233,NORMAL,338851,508.9,TR,TR,TR,TR,GMAIL.COM,176.236.254.99,CC,79,1,1,3,1,1,Halk Bankası,PBFi/TBjgGnRNVDm0U6WSQ==,TR,--,ANKARA,06530,2,0.0,0.0,2024-11-04 14:23:20.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,84e4defe700a87f8e81a81b673089e0e,2024-11-07 00:00:00.000
abd,406-2389105-9001149,824789897312,tt/d108893233,NORMAL,338851,778.31,TR,TR,TR,TR,GMAIL.COM,95.70.229.96,CC,504,1,0,3,1,1,Finansbank,uwhd+4vQ3S2MeRANPuvdAA==,TR,--,,34235,3,0.0,0.0,2024-11-06 13:09:19.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,d46752a6109f4d4d93b92d438df5c20c,2024-11-07 00:00:00.000
abb,406-9311533-2728338,834463785112,tt/d108893233,NORMAL,338851,1677.92,TR,TR,TR,TR,GMAIL.COM,78.190.123.147,CC,147,1,1,1,0,1,Vakıfbank,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,35932,6,0.0,0.0,2024-11-06 11:24:40.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,886629e8b891e1a6924e2bbebfd9a2f2,2024-11-07 00:00:00.000
abc,408-0090879-8970722,834683240812,tt/d108893233,NORMAL,338851,1664.85,TR,TR,TR,TR,GMAIL.COM,46.104.27.244,CC,107,1,1,3,1,1,Yapı Kredi Bankası,lNvDXdwnCKAmZIygZ4uG1Q==,TR,--,,34764,7,0.0,0.0,2024-11-06 16:52:58.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,ac404e9e5996c2102172867638fb5563,2024-11-07 00:00:00.000
aba,171-8282368-0317133,832746074012,tt/d108893233,NORMAL,338851,431.14,TR,TR,TR,TR,GMAIL.COM,176.238.19.6,CC,107,1,1,3,1,1,Akbank,lNvDXdwnCKAmZIygZ4uG1Q==,TR,--,BURSAYILDIRIM,16350,2,0.0,0.0,2024-11-03 15:27:53.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,499e6984878ba0bd7808461d9a15fac6,2024-11-07 00:00:00.000
abd,402-3587328-4948331,833598112512,tt/d108893233,NORMAL,338851,1687.83,TR,TR,TR,TR,OUTLOOK.COM,159.146.16.90,CC,107,1,1,3,1,1,Papara Elektronik Para,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,41650,10,0.0,0.0,2024-11-07 11:08:39.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,45c09ff716fefe4378b83745da586bd7,2024-11-07 00:00:00.000
abb,408-5895076-9942748,47041409002,tt/d108893233,NORMAL,338851,847.3,TR,TR,TR,TR,GMAIL.COM,85.99.19.138,CC,107,1,0,3,1,1,Yapı Kredi Bankası,,UNKNOWN,--,,34899,0,0.0,0.0,2024-11-05 08:53:46.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,2d72a4ea77b0a4da7485f5c0c1e2cf75,2024-11-07 00:00:00.000
abc,408-9283054-5966749,832937029312,tt/d108893233,NORMAL,338851,564.28,TR,TR,TR,TR,GMAIL.COM,81.214.23.218,CC,147,1,1,1,1,1,Ziraat Bankası,lNvDXdwnCKAmZIygZ4uG1Q==,TR,--,KEIREN,06100,2,0.0,0.0,2024-11-03 22:27:46.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,2287d8bfdaea9b9c681c62b1e97553fb,2024-11-07 00:00:00.000
aba,171-5788354-3491562,808979364112,tt/d108893233,NORMAL,338851,407.69,TR,TR,TR,TR,GMAIL.COM,31.223.127.126,CC,107,1,1,3,1,2,Denizbank,MG6OADi7akk3UAIHJs1XcQ==,TR,--,,34010,12,2.323819,2.323819,2024-11-04 17:45:57.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,c27e4ecb65ff5a18f86171dfeb9ee7d0,2024-11-07 00:00:00.000
abd,403-8735231-4569163,48745299512,tt/d108893233,NORMAL,338851,772.86,TR,TR,TR,TR,GMAIL.COM,31.223.11.34,CC,63,1,1,1,0,1,Halk Bankası,RZ3qVUOHFCj+CcBbAVFK7A==,TR,--,MERKEZ,81100,8,0.0,0.0,2024-11-06 11:13:02.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,5de97737fe911fc0c553a0fa287863d1,2024-11-07 00:00:00.000
abb,406-1744333-4449106,833148813612,tt/d108893233,NORMAL,338851,493.52,TR,TR,TR,TR,GMAIL.COM,78.180.228.119,CC,147,1,1,1,1,1,Garanti Bankası,8jgpXvp0m7s2eVY3KmX1/w==,TR,--,ANKAYA,06000,38,0.0,0.0,2024-11-06 18:18:27.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,a92f29c7feec16c220d95a5d792092ea,2024-11-07 00:00:00.000
